English,Hebrew
adaptable,מסתגל בקלות; שאפשר להתאימו
adaptation,"הסתגלות; עיבוד, התאמה, אדפטציה"
add,להוסיף
addict,מכור
addiction,התמכרות
addictive,ממכר
addition,הוספה; תוספת
additional,נוסף
address,כתובת
address,להפנות; לנאום בפני
adept,"מומחה, מיומן"
adequate,"הולם, מתאים; מספק, מספיק"
adhere,לדבוק ב-
adherence,"דבקות, נאמנות"
adherent,"חסיד, תומך"
adhesive,"דביק, מֵדּבּק"
adjourn,"לנעול את הישיבה, לדחות"
adjust,"לכוונן, להתאים; להסתגל"
adjustment,"התאמה, כוונון; הסתגלות"
administer,"לנהל, להפעיל; לתת, לספק"
administration,מינהל; ניהול
admirable,מעורר התפעלות; ראוי להערצה
admiration,הערצה; התפעלות
admire,להעריץ; להתפעל
admissible,קביל
admission,"הודאה; כניסה, קבלה"
admit,להודות (במשהו); לתת להיכנס
admonish,"להזהיר, לנזוף"
adolescence,גיל ההתבגרות
adolescent,"מתבגר, בגיל ההתבגרות"
adopt,לאמץ
adoption,אימוץ
adorable,"חמוד, מקסים"
adore,להעריץ
adorn,לקשט
adornment,קישוט
adrift,נסחף בזרם
adult,"מבוגר, בוגר"
adulthood,בגרות
advance,"להתקדם, לקדם; התקדמות; מוקדם; מקדמה"
advanced,מתקדם
advantage,"יתרון, תועלת"
advantageous,מועיל
adventure,הרפתקה
adversary,"יריב, אויב"
adverse,שלילי; נגדי
advertise,לפרסם
advertisement,פרסום; פרסומת; מודעה
advice,עצה
advise,לייעץ
advocate,"לתמוך ב-, לצדד ב-"
affair,"עניין, עסק; אירוע, פרשה"
affect,להשפיע על
affection,חיבה
affectionate,"מביע חיבה, אוהב"
affiliated,"מצורף, קשור"
affiliation,"קשר, קשר השתייכות"
affinity,"זיקה, קרבה, דמיון"
affirm,לאשר
affirmative,חיובי
afflict,"לייסר, לגרום סבל"
affliction,"סבל, מכאוב"
affluence,"שפע, עושר"
affluent,עשיר
afford,להרשות לעצמו
again,"שוב, עוד פעם"
age,"להזדקן; גיל; עידן, תקופה"
aged,.”Aged” is older than “old“ זקן
agency,סוכנוּת
agenda,"סדר יום, אג'נדה"
agent,סוכן; נציג
aggravate,"להחמיר,להחריף; להרגיז"
aggression,תוקפנות
aggressive,"תוקפני, אגרסיבי"
agitate,"להדאיג, להסעיר, להטריד"
agony,"ייסורים, סבל Anguish is ייסורים נפשיים, whereas agony isייסורים פיזיים."
agree,להסכים
agreeable,נעים
agreement,הסכם; הסכמה
agriculture,חקלאות
ahead,"לפני, מראש; קדימה"
aid,לסייע; סיוע
ailment,"מחלה, חולי"
aim,"לכוון; לשאוף ל-; מטרה, שאיפה; כיוון"
alarm,"להבהיל, להדאיג; אזעקה"
alert,להזהיר; עירני
alien,זר; חייזר
alienate,"לגרום לניכור, להרחיק"
alike,דומה
alive,חי
allegation,"טענה, האשמה"
allege,לטעון
allegedly,"לכאורה, כפי שטוענים"
alleviate,"להקל על, לשכך"
alliance,ברית
allocate,להקצות
allow,"להרשות, לאפשר"
allude,"לרמוז, להזכיר"
allusion,"רמז, רמיזה"
ally,בעל ברית
alone,לבד
aloud,בקול רם
alter,לשנות; להשתנות
alternate,לסירוגין
alternative,"חלופי, אלטרנטיבי; ברירה, חלופה, אלטרנטיבה"
altitude,גָובה
altogether,"בסך הכול; לגמרי יש הבדל בין ""altogether"" במשמעויות הנ""ל,לבין ""all together""´ שפירושו ""כולם יחד""."
amateur,חובבן; חובבני
amaze,להדהים
amazement,"פליאה, תדהמה"
amazing,מדהים
ambassador,שגריר
ambiguity,"דו משמעות, אי בהירות"
ambiguous,"דו משמעי, מעורפל"
ambition,"שאיפה; שאפתנות, אמביציה"
ambitious,שאפתני
ambivalent,"דו ערכי, אמביוולנטי"
amend,"לתקן, לשנות"
amendment,"תיקון, שינוי"
amiable,"חביב, ידידותי"
amount,סכום; כמות
amount to,מסתכם ב-
ample,"הרבה, מספיק, די והותר; נרחב, מרוּוח"
amplify,להגביר
amputate,"לקטוע, לכרות"
amuse,"לשעשע, לבדר"
amusement,"שעשוע, בידור, הנאה"
analysis,"ניתוח, אנליזה"
analyze,"לנתח, לעשות אנליזה"
ancestor,אב קדמון
ancestry,"מוצא, ייחוס"
ancient,"עתיק, קדמון"
anger,להרגיז; כעס
angle,זווית; נקודת מבט
angry,כועס
anguish,"ייסורים Anguish is ייסורים נפשיים, whereas agony is ייסוריםפיזיים."
announce,"להכריז, להודיע"
announcement,"הכרזה, הודעה"
annoy,"להציק, להטריד"
annual,שנתי
annually,פעם בשנה
anonymity,"אלמוניות, אנונימיות"
anonymous,"אלמוני, אנונימי"
another,"אחר, שונה, נוסף"
antagonism,"עוינות, התנגדות, אנטגוניזם"
antagonize,"להרגיז, לעורר התנגדות, ליצור אנטגוניזם"
anticipate,לצפות מראש; לצפות ל-
anticipation,ציפייה
antique,(חפץ) עתיק
antiquity,ימי קדם; עתיקות
anxiety,"חרדה, דאגה; רצון עז"
anxious,"חרד, דואג; משתוקק"
any,איזשהו; כל; שום
anyhow,איכשהו; בכל מקרה
anyone = anybody,כל אחד; מישהו
anything,כל דבר; משהו
anywhere,בכל מקום; במקום כלשהו
apathetic,"אדיש, אפתי"
apathy,"אדישות, אפתיות"
apologize,להתנצל
apology,התנצלות
appalling,"מזעזע, מחריד"
apparatus,מתקן
apparent,"גלוי, ברור"
apparently,"כפי הנראה, לכאורה"
appeal,"לפנות אל, לבקש; לערער; פנייה, בקשה; ערעור"
appealing,"נוגע ללב; מושך, מעניין, מקסים"
appear,"להיראות, להופיע"
appearance,"הופעה, מראה; רושם"
appetite,תאבון
applaud,"למחוא כפיים, להריע"
applause,מחיאות כפיים
appliance,"מכשיר, מתקן"
applicant,"מועמד, פבֿנה"
application,"פניה, בקשה; יישום"
apply,ליישם; לפנות בבקשה
appoint,למנות
appointment,"מינוי; פגישה, ראיון, תור"
appraise,"להעריך, לאמוד"
appreciate,"להעריך, להוקיר"
appreciation,הערכה
apprehend,"ללכוד, לתפוס, לעצור"
apprehensive,"דואג, חושש"
approach,לגשת; גישה
appropriate,"הולם, מתאים; להקציב, להקצות"
approval,"הסכמה, אישור"
approve,"להסכים, לאשר; לראות בעין יפה"
approximate,"קרוב, משוער"
approximately,"בערך, בקירוב"
aptitude,"כשרון, כושר"
arbitrary,שרירותי; אקראי
ardent,נלהב
area,"אזור, שטח"
argue,להתווכח; לטעון
argument,ויכוח; טיעון
aristocracy,"אצולה, אריסטוקרטיה"
aristocrat,"אציל, אריסטוקרט"
arm,לחמש; זרבֿע
arms,נשק
army,צבא
aroma,"ניחוח, ארומה"
arouse,לעורר
arrange,"לסדר, לארגן"
arrangement,"הסדר, סידור"
arrest,לעצור; מעצר
arrival,הגעה
arrive,להגיע
arrogant,יהיר
art,אומנות
article,"מאמר; חפץ, פריט"
articulate,"רהוט, מתנסח היטב; להתבטא בבהירות"
artificial,מלאכותי
artist,אמן
ascend,"לעלות על, לטפס"
ascent,"עלייה, טיפוס"
ascertain,"לוודא, לברר, לאמת"
ashamed,"מבויש, מתבייש"
aside,"הצידה, בצד"
aspect,"היבט, צד, אספקט"
aspiration,"שאיפה, ""חלום"""
aspire,"לשאוף, ""לחלום"""
assassin,"רוצח, מתנקש"
assassinate,"לרצוח, להתנקש"
assault,"לתקוף, להסתער; תקיפה"
assemble,"לאסוף, להרכיב; להתאסף"
assembly,"אסיפה, כינוס"
assent,"הסכמה, אישור; להסכים"
assert,"לעמוד על-, לדרוש; לטעון, להצהיר"
assertive,"תקיף, החלטי, אסרטיבי"
assess,"להעריך, לאמוד"
asset,נכס
assign,להקצות
assignment,"משימה, מטלה"
assimilate,להטמיע; להיטמע
assist,"לסייע, לעזור"
assistance,"סיוע, עזרה"
associate,לקשר עם; להתרועע עם
association,"התאחדות, איגוד, אגודה; קשר, שיתוף"
assume,"להניח, לשער; לקבל על עצמו"
assumption,"הנחה, השערה"
assure,להבטיח
astonish,להדהים
astonishment,"תדהמה, תימהון"
astound,להדהים
at least,לפחות
attach,"לחבר, להצמיד"
attachment,"חיבור, צירוף"
attack,להתקיף; התקפה
attain,"להשיג, להגשים"
attempt,לנסות; ניסיון
attend,ללכת ל-; לטפל ב-; להיות נוכח
attendance,נוכחות
attendant,משרת; סדרן
attention,תשומת לב
attire,"לבוש, בגדים"
attitude,"גישה, עמדה, יחס"
attract,למשוך
attraction,"משיכה; דבר מושך, אטרקציה"
attractive,"מושך, אטרקטיבי"
attribute,תכונה
attribute,לייחס ל-
auction,מכירה פומבית
authentic,"אמין, אמיתי, אותנטי"
author,"מחבר, סופר"
authority,"סמכות; רשות, גוף שלטוני"
authorization,"אישור, הרשאה"
authorize,"לאשר, להרשות; להסמיך"
autumn,סתיו
avail,"להועיל, לעזור; תועלת"
available,"זמין, פנוי, מצוי"
average,ממוצע
avid,"להוט, נלהב"
avoid,להימנע (ממשהו); להתחמק (ממישהו)
avoidable,שניתן להימנע ממנו
await,"להמתין, לחכות, לצפות"
awake,ער
award,פרס; להעניק
aware,מודע
awareness,מוּדעוּת
away,רחוק
awe,יראת כבוד
awful,נורא
awkward,"מגושם; לא נוח, מביך"
awkwardness,"סירבול; אי נוחות, מבוכה"
background,רקע
badge,"תג, סמל"
baffle,"להביך, לבלבל"
bait,פיתיון; לשים פיתיון
balance,"לאזן; איזון, שיווי משקל"
bald,"קירח; חשוף, גלוי"
ban,"להחרים, לאסור; חרם, איסור"
band,"רצועה, פס; תזמורת; כנופיה"
bandage,לחבוש; תחבושת
bang,"לדפוק, להלום; חבטה, מכה"
bar,"לחסום, לנעול; מוט; בריח"
barber,סצּר
bare,חשוף; לחשוף
barely,בקושי
bargain,"להתמקח; עסקה, ""מציאה"""
bark,לנבוח
barrel,חבית; קנה (של רובה)
barren,"עקר, לא פורה, צחיח"
barrier,מחסום
base,בסיס (גם בסיס צבאי)
bashful,בישן
basic,"בסיסי, יסודי"
basis,בסיס (רעיוני)
bath,להתרחץ; אמבטיה
bathroom,"חדר אמבטיה, שירותים"
battle,קרב; להילחם
bear,לשאת; לסבול; דוב
bearable,נסבל
beard,זקן
beat,"להכות, להלום; לגבור על; מכה; נקישה, פעימה; מקצב"
beaten,"מובס, מוכה"
beautiful,יפהפה
beauty,יופי
beckon,"לקרוא, לזמן, לאותת לו לבוא"
become,להפוך להיות
beg,להתחנן
beggar,קבצן
begin,להתחיל
beginning,התחלה
behave,להתנהג
behavior,התנהגות
belief,אמונה
believe,להאמין
belittle,"להמעיט בערכו, לזלזל"
belong,להשתייך
belongings,חפצים אישיים
bend,לכופף; להתכופף
beneficial,"מועיל, מיטיב"
benefit,"להפיק תועלת מ-; תועלת, רווח"
benevolent,נדיב
best,הטוב ביותר
bestow,להעניק
bet,"להמר; הימור, התערבות"
betray,לבגוד
betrayal,בגידה
beware,להיזהר
bewildered,"מבולבל, נבוך, המום"
bias,"דעה קדומה, משוא פנים"
biased,"משוחד, בעל דעה קדומה"
bigot,"קנאי, לא סובלני, צר אופקים הערה: מלה זו מתייחסת לחוסרסובלנות כלפי אנשים השונים ממך (דת, מוצא אתני, בעלי דעותשונות) ולא כלפי רעיונות או דעות לכשעצמם."
bigotry,"צרות אופקים, קנאות, חוסר סובלנות לדעות אחרים"
bilateral,דו-צדדי
bind,לקשור; לחייב
birth,לידה
bit,מעט; חתיכה קטנה
bite,לנשוך; נשיכה; נגיסה
bitter,"מר, מריר"
bizarre,"מוזר, יוצא דופן"
blade,להב
blame,אשמה; להאשים
blank,ריק
blanket,שמיכה
blast,לפוצץ; פיצוץ
blatant,"בוטה, חסר בושה"
blaze,"ללהוט, לבעור"
blazing,"בוער, לוהט, זוהר"
bleed,לדמם
blend,"לערבב, למזג; להתמזג; תערובת"
bless,לברך
blessing,ברכה
blind,לעוור; לסנוור; עיוור
blindness,עיוורון
bliss,אושר עילאי
block,לחסום; מחסום; גוש
blood,דם
bloody,עקוב מדם; ארור
bloom,"ללבלב, לפרוח"
blossom,"פריחה, לבלוב"
blow,לנשוב (רוח); לנשוף; נשיפה; מכה
blow up,להתפוצץ
blunder,"שגיאה טיפשית, פאשלה"
blunt,"קהה, לא חד; בוטה, גלוי"
blur,לטשטש
blush,להסמיק
board,"קרש, לוח; מועצת מנהלים; להתאכסן, לאכסן; לעלות (על כליתחבורה)"
boast,להתרברב
boil,"לרתוח, להרתיח"
bold,"נועז, אמיץ; בולט לעין, ברור"
bolt,לנעול; בריח
bomb,להפציץ; פצצה
bond,קֶשר
book,"להזמין (מראש), להירשם; ספר"
boost,"להגביר, לתת דחיפה, להעלות"
border,גבול; קצה
bore,לשעמם
boredom,שעמום
borrow,"ללוות, לשאול"
both,שניהם
bother,"להטריד, להציק; מיטרד; לטרוח; טרחה"
bottom,תחתית; קרקעית; תחתון
bounce,"לקפוץ, לנתר; קפיצה, ניתור"
boundary,גבול
boycott,להחרים; חרם
brake,"לבלום, לעצור; בלם, מעצור"
branch,להסתעף; ענף; שלוחה; סניף
brave,אמיץ
bravery,גבורה
breach,"להפר, לפרוץ; הפרה, פריצה"
breadth,"רוחב, רוחב אופקים"
breakthrough,פריצת דרך
breath,נשימה
breathe,לנשום
breed,"לגדל; להתרבות הערה: הפירוש של המילה אינו רק ""לגדל"" אלאיותר ""להרביע"" או ""להרבות"" כלומר לזווג מינים של חיות לצורךרבייה, או לצורך יצירת גזעים חדשים."
bribe,שוחד; לשחד
brief,קצר
bright,"בהיר, זוהר; פיקח"
brighten,"להאיר, להבהיר; להתבהר"
brightness,בהירות
brilliance,זוהר; חריפות שכל
brilliant,"זוהר, נוצץ; חכם, מבריק"
brisk,נמרץ
broad,רחב; מקיף
broadcast,לשדר; שידור; משדר
broaden,להרחיב; להתרחב
brutal,"ברוטאלי, אכזרי"
brutality,"ברוטאליות, אכזריות"
budget,תקציב
bulb,נורת חשמל
bulge,"לבלוט, לתפוח; בליטה, תפיחה"
bulk,כמות גדולה
bulletin,עלון; דיווח רשמי
bundle,"חבילה, צרור"
burden,"נטל, מעמסה; להכביד, להעמיס"
burglar,"פורץ, גנב"
burglary,פריצה
burial,קבורה
burn,לבעור; לשרוף; כוויה
burst,"לפוצץ; להתפוצץ; לפרוץ, להתפרץ; התפרצות"
bury,לקבור
business,עסק
bustle,"המולה, פעילות ערה"
busy,עסוק
butcher,קצב; לשחוט
button,לכפתר; כפתור
by means of,"באמצעות, על ידי"
calamity,אסון
calculate,לחשב
calendar,לוח שנה
call,"לקרוא, לצעוק; להזעיק; לטלפן; קריאה, צעקה; שיחת טלפון"
calm,"שקט, רגוע; להירגע; להרגיע; שקט, שלווה"
camp,להקים מחנה; מחנה
campaign,"מערכה, מבצע, קמפיין"
can,"יכול, מסוגל; קופסה, פחית"
canal,תעלה
cancel,לבטל
candid,"גלוי לב, כן"
candidate,מועמד
cap,כובע; פקק
capability,"יכולת, כשרון"
capable,"מוכשר, כשרוני"
capable of,"יכול, מסוגל"
capacity,"קיבולת; כושר, יכולת"
capital,עיר בירה; הון
captain,קפטן; קברניט
captive,שבוי
captivity,שבי
capture,ללכוד; לקחת בשבי
care,"לטפל; לחבב; דאגה, תשומת לב"
careful,זהיר
careless,"לא זהיר, פזיז; אדיש"
cargo,"מטען, משא"
cart,עגלה
cartoon,סרט מצויר; קריקטורה
carve,"לגלף, לפסל; לחרות"
case,"קופסה, תיבה; עניין, מקרה; תיק משפטי"
cash,לפדּבֿת; מזומנים
cashier,קופאי
cast,"להטיל, להשליך"
casual,"מקרי, אקראי; פשוט ונוח, של יום יום"
casualty,"הרוג, נפגע המילה מתייחסת לכלל הנפגעים - הרוגים ופצועיםכאחד."
catch,"ללכוד, לתפוס"
categorize,לסווג לקטגוריות
category,"סוג, קטגוריה"
cause,"לגרום; גורם, סיבה"
caution,אזהרה; זהירות; להזהיר
cautious,זהיר
cave,מערה; להתמוטט
cease,"להפסיק, לחדול"
celebrate,לחגוג
celebration,חגיגה
cellar,מרתף
cement,מלט
center,"מרכז; למרכּז, לשים במרכז"
central,מרכזי; עיקרי
century,מאה שנה
ceramic,עשוי קרמיקה
ceremonial,"טקסי, רשמי"
ceremony,טקס
certain,"ודאי, בטוח; מסוים"
certainty,"ודאות, ביטחון"
certificate,"תעודה רשמית, אישור"
certify,"לאשר, להצהיר"
chain,לכבול; שרשרת
chairman,יושב ראש
challenge,"לאתגר, לקרוא תיגר; אתגר"
champion,אלוף
championship,אליפות
chance,"סיכוי, מקרה, מזל"
change,"להחליף, לשנות; להשתנות; שינוי"
channel,"תעלה; ערוץ; לתעל, להפנות, לכוון"
chant,"לזמר, להשמיע מזמור"
chaos,"תוהו ובוהו, בלגן"
chaotic,"כאוטי, שנמצא במצב של תוהו ובוהו"
chapter,פרק
character,"דמות; אופי; תו, אות"
characteristic,מאפיין; אופייני
charge,לדרוש תשלום של; להאשים; להטעין; תשלום; אישום
charity,"צדקה, נדיבות"
charm,"להקסים, לכשף"
charming,מקסים
chart,תרשים
chase,לרדוף; מרדף
chat,לשוחח; שיחה קלה
chatter,"לפטפט, לקשקש; פטפוט בלתי פוסק"
cheap,זול
cheat,לרמות
check,לבדוק; בדיקה; צ'ק; חשבון במסעדה
cheek,לחי
cheeky,חצוף
cheer,"לעודד, להריע"
cheerful,שמח; משמח
chemical,כימי
chemist,כימאי; רוקח
chemistry,כימיה
cherish,להוקיר; לטפח (בלב)
chew,ללעוס
chief,"מנהיג; ראשי, עיקרי"
childhood,ילדות
childish,ילדותי
chilly,"צונן, קריר"
choice,"בחירה, ברירה"
choir,מקהלה
choose,לבחור
chore,"מטלה, עבודה לא נעימה"
chuckle,"לגחך, לצחוק צחוק מאופק"
church,כנסייה
cinema,בית קולנוע
circle,להקיף; עיגול
circuit,מעגל חשמלי
circular,עגול; סיבובי
circulate,"להפיץ, להעביר; לנוע במחזור, להסתובב"
circulation,הפצה; תפוצה; מחזור הדם
circumstances,נסיבות
circumstantial,נסיבתי
cite,לצטט
citizen,אזרח
citizenship,אזרחות
civil,אזרחי
civilian,אזרח; אזרחי
civilization,"ציביליזציה, תרבות"
civilize,"לתרבת, להפוך מישהו לתרבותי"
claim,לטעון; טענה; לדרוש; דרישה
clan,"שבט, ""חמולה"""
clap,למחוא כפיים
clarify,להבהיר
clash,להתנגש; התנגשות; להתעמת; עימות הערה: השימוש הנפוץבמילה הזו באנגלית מתייחס לצבעים (שלא מתאימים יחד).
class,כיתה; מעמד
classification,"סיווג, מיון"
classified,מסווג
classify,"לסווג, למיין"
clean,לנקות; נקי
clear,"צלול, בהיר, ברור; לפנות"
clench,"לאחוז בחוזקה; לסגור בכוח הערה: משתמשים בפועל זה לרוב רקעם ""שיניים"" (teeth) ו""אגרוף"" (fist)."
clergy,כמורה
clerical,פקידותי
clerk,פקיד
clever,"חכם, פיקח"
cleverness,"חוכמה, פיקחות"
client,"לקוח, קליינט"
climate,"אקלים, מזג אוויר"
climb,לטפס; טיפוס
cling,"לדבוק, להיאחז בחוזקה, להיצמד"
clinic,מרפאה
clip,"מהדק, אטב; להצמיד, להדק יחד; לקצץ, לגזור"
close,לסגור; לסיים; קרוב
cloth,"אריג, בד"
clothes,בגדים
clothing,ביגוד
cloud,להעיב; ענן; צל
cloudy,מעונן; מעורפל; עכור
club,"מועדון; מקל, אַלה"
clue,רמז
clumsy,"מגושם, גמלוני"
cluster,"אשכול, קבוצה, דבוקה; להתקבץ"
coach,"לאמן, להדריך; מאמן; כרכרה"
coarse,"מחוספס, גס"
coast,חוף
coax,"לשכנע (בעדינות), לשדל"
coerce,"לאלץ, להכריח, לכפות"
coercion,כפייה
coexist,"להתקיים יחד, לחיות בדו-קיום"
coexistence,דו-קיום
coherent,"קוהרנטי, עקבי, ברור"
cohesive,מלוכד; מלכד
coin,לטבוע (מטבע); מטבע
coincide,"להתרחש באותו זמן, לחפוף"
coincidence,צירוף מקרים
coincidental,מקרי
collaborate,לשתף פעולה
collapse,להתמוטט; התמוטטות
collapsible,מתקפל
colleague,"עמית, חבר לעבודה, קולגה"
collect,לאסוף; להתאסף
collection,"איסוף; אוסף, קולקציה"
collective,"קולקטיבי, קיבוצי, שיתופי"
college,מכללה
collide,להתנגש
collision,התנגשות
colonial,"קולוניאלי, של מושבה"
colonize,"ליישב, להקים מושבה ב-"
colony,"קולוניה, מושבה"
column,"עמוד; עמודה, טור"
combat,"קרב, מאבק"
combat,"להילחם, להיאבק"
combination,"שילוב, צירוף, קומבינציה"
combine,"לצרף, לחבר; להתאחד"
combustion,"בעירה, שריפה"
come,"לבוא, להגיע"
comfort,לנחם; נחמה; נוחות
comfortable,נוח
command,לפקד; לשלוט; פקודה; שליטה
commander,מפקד
commence,"להתחיל הערה: זוהי מלה נרדפת מאוד רשמית למלה ""begin""."
commend,"לשבח, להמליץ על"
commendable,ראוי לשבח
comment,"להעיר, להגיב; הערה, תגובה"
commentary,"פרשנות, פירוש"
commerce,מסחר
commercial,מסחרי; תשדיר פרסומת
commission,ועדה; עמלה
commit,"לבצע, לעשות"
commitment,התחייבות; מחוייבות
committed,"מסוּר, בעל מחוייבות"
committee,ועדה
commodity,"מצרך, סחורה"
common,משותף; נפוץ
commonplace,"שגרתי, רגיל, שכיח"
commotion,"מהומה, המולה"
communicate,"לתקשר, להתקשר"
communication,תקשורת
community,"קהילה, ציבור"
compact,"דחוס, קומפקטי, מרוכז"
companion,"בן-לוויה, ידיד"
company,חְברה
compare,להשוות
comparison,השוואה
compassion,"רחמים, חמלה"
compassionate,"רחום, רחמני"
compatible,תואם
compel,"לכפות, להכריח, לאלץ"
compelling,משכנע; מחייב
compensate,לפצות
compensation,פיצוי
compete,להתחרות
competence,"יכולת, כישרון"
competent,"בעל יכולת, מוכשר"
competition,תחרות
competitive,תחרותי
complacent,"שאנן, שבע רצון מעצמו"
complain,להתלונן
complaint,תלונה
complement,להשלים
complementary,משלים
complete,"להשלים, לסיים; שלם"
completely,לגמרי
complex,"תסביך; תשלובת (מתקנים), קומפלקס"
complex,"מסובך, מורכב"
compliance,"היענות, ציות"
complicate,לסבך
complicated,"מסובך, מורכב"
complication,סיבוך
compliment,"להחמיא; מחמאה, קומפלימנט"
comply,"להיענות ל-, לציית"
component,"רכיב, מרכיב"
compose,"להלחין, לחבר"
composed of,מורכב מ
comprehend,"להבין, לתפוס"
comprehensible,"מובן, ניתן להבנה"
comprehension,"הבנה, תפיסה"
comprehensive,"כולל, מקיף"
compress,לדחוס
comprise,לכלול; להיות מורכב מ-
compromise,להתפשר; פשרה
compulsion,כפייה; דחף כפייתי
compulsive,כפייתי
compulsory,שמהווה חובה
computer,מחשב
conceal,להסתיר
concede,להודות ב-; לוותר על
conceited,"שחצן, יהיר"
conceive,"לתפוש, להעלות על הדעת"
concentrate,להתרכז ב-; לרכז
concentration,ריכוז; התרכזות
concept,"מושג, רעיון"
conception,"תפיסה, קונספציה"
concern,"להדאיג; דאגה; עסק, עניין"
concerning,בנוגע ל-
concession,ויתור; זכיון
concise,תמציתי
conclude,להסיק; לסיים
conclusion,סיום; מסקנה
conclusive,"מכריע, סופי"
concur,להסכים
concurrence,הסכמה
concurrent,מתרחש בו זמנית
condemn,לגנות; להרשיע
condemnation,הרשעה; גינוי
condense,לעבות; לתמצת; להתעבות
condescending,"מתנשא, יהיר"
condition,"תנאי; מצב, תנאים"
conditional,מותנה
condone,להתייחס בסלחנות ל-
conduct,"לנצח על; להתנהג; לנהל, לערוך"
conduct,התנהגות; ניהול
confer,להתייעץ
conference,"ועידה; התייעצות, דיון"
confess,"להתוודות, להודות ש-"
confession,"וידוי, הודאה"
confide,לספר בסוד
confidence,ביטחון; אמון
confident,"בטוח, בוטח"
confidential,סודי
confine,"להגביל, לתחום"
confinement,"מאסר, ריתוק"
confirm,"לאשר, לאמת"
confirmation,"אישור, אימות"
confiscate,"להחרים, לעקל"
conflict,"קונפליקט, ניגוד; עימות, מאבק; להיות מנוגד, לסתור"
conform,"לציית, לנהוג בהתאם ל-"
conformity,"קונפורמיזם, התנהגות בהתאם למוסכמות"
confront,להתעמת; לעמת
confrontation,עימות
confuse,לבלבל
confusion,"בלבול, מבוכה"
congestion,"צפיפות, גודש"
congratulate,"לברך, לאחל מזל טוב"
congratulations,"איחולים, ברכות"
congregate,"להתקהל, להתאסף"
congregation,"קהילה, ציבור הערה: מילה זו מופיעה כמעט תמיד בהקשר דתי."
conjunction,"צירוף, שילוב"
connect,"לקשר, לחבר; להתחבר"
connection,"חיבור, קשר"
conquer,לכבוש
conquest,כיבוש
conscience,מצפון
conscientious,בעל חוש אחריות
conscious,מוּדע; בהכרה
consciousness,"תודעה, הכרה; מוּדעוּת"
consecutive,"עוקב, בא מיד אחרי, רציף"
consent,"להסכים ל-, להרשות; הסכמה"
consequence,תוצאה; חשיבות
consequently,כתוצאה מכך
conservation,שימור
conservative,שמרני
conserve,"לשמר, לשמור על"
consider,לשקול; לקחת בחשבון; להחשיב כ-
considerable,"ניכר, רב, משמעותי"
considerate,מתחשב
consideration,שיקול; התחשבות
consist,להיות מורכב מ-
consistency,עקביות
consistent,עקבי
consolation,"תנחומים, נחמה"
console,לנחם
